Accuracy,Model
0.923076923076923,loclda
0.909090909090909,loclda
0.913978494623656,loclda
0.957894736842105,loclda
0.908045977011494,loclda
0.882978723404255,loclda
0.914893617021277,loclda
0.903225806451613,loclda
0.921348314606742,loclda
0.932584269662921,loclda
0.923913043478261,loclda
0.934065934065934,loclda
0.855670103092783,loclda
0.895348837209302,loclda
0.887640449438202,loclda
0.943181818181818,stepLDA
0.934065934065934,stepLDA
0.968421052631579,stepLDA
0.925531914893617,stepLDA
0.955056179775281,stepLDA
0.907216494845361,stepLDA
0.935483870967742,stepLDA
0.925531914893617,stepLDA
0.921348314606742,stepLDA
0.934065934065934,stepLDA
0.943820224719101,stepLDA
0.931034482758621,stepLDA
0.935483870967742,stepLDA
0.956521739130435,stepLDA
0.941860465116279,stepLDA
0.943181818181818,stepQDA
0.934065934065934,stepQDA
0.91578947368421,stepQDA
0.925531914893617,stepQDA
0.97752808988764,stepQDA
0.938144329896907,stepQDA
0.903225806451613,stepQDA
0.925531914893617,stepQDA
0.921348314606742,stepQDA
0.857142857142857,stepQDA
0.943820224719101,stepQDA
0.942528735632184,stepQDA
0.935483870967742,stepQDA
0.956521739130435,stepQDA
0.941860465116279,stepQDA
0.989010989010989,LogitBoost
0.988636363636364,LogitBoost
1,LogitBoost
0.96551724137931,LogitBoost
0.968085106382979,LogitBoost
0.978723404255319,LogitBoost
0.989247311827957,LogitBoost
0.966292134831461,LogitBoost
0.98876404494382,LogitBoost
0.978260869565217,LogitBoost
0.978021978021978,LogitBoost
0.969072164948454,LogitBoost
0.988372093023256,LogitBoost
0.98876404494382,LogitBoost
0.967741935483871,LogitBoost
0.978494623655914,lvq
0.989130434782609,lvq
0.966292134831461,lvq
0.978021978021978,lvq
0.967741935483871,lvq
0.96551724137931,lvq
0.98876404494382,lvq
0.989690721649485,lvq
0.941860465116279,lvq
0.946808510638298,lvq
1,lvq
0.978021978021978,lvq
0.98876404494382,lvq
0.957446808510638,lvq
0.968421052631579,lvq
0.988636363636364,mlp
1,mlp
0.98876404494382,mlp
0.967741935483871,mlp
1,mlp
0.977011494252874,mlp
0.978723404255319,mlp
0.957446808510638,mlp
1,mlp
0.955056179775281,mlp
0.943820224719101,mlp
0.978260869565217,mlp
0.967032967032967,mlp
0.989690721649485,mlp
0.965116279069767,mlp
1,mlpML
1,mlpML
0.946236559139785,mlpML
0.968421052631579,mlpML
0.988505747126437,mlpML
0.946808510638298,mlpML
0.957446808510638,mlpML
0.978494623655914,mlpML
0.97752808988764,mlpML
0.955056179775281,mlpML
0.978260869565217,mlpML
0.978021978021978,mlpML
0.969072164948454,mlpML
0.953488372093023,mlpML
0.97752808988764,mlpML
0.989247311827957,mlpWeightDecay
0.978260869565217,mlpWeightDecay
0.966292134831461,mlpWeightDecay
0.978021978021978,mlpWeightDecay
0.978494623655914,mlpWeightDecay
0.96551724137931,mlpWeightDecay
0.955056179775281,mlpWeightDecay
0.969072164948454,mlpWeightDecay
0.953488372093023,mlpWeightDecay
0.968085106382979,mlpWeightDecay
1,mlpWeightDecay
1,mlpWeightDecay
0.98876404494382,mlpWeightDecay
0.968085106382979,mlpWeightDecay
0.989473684210526,mlpWeightDecay
0.967741935483871,mlpWeightDecayML
0.978260869565217,mlpWeightDecayML
0.955056179775281,mlpWeightDecayML
0.978021978021978,mlpWeightDecayML
0.967741935483871,mlpWeightDecayML
0.988505747126437,mlpWeightDecayML
0.98876404494382,mlpWeightDecayML
0.958762886597938,mlpWeightDecayML
0.965116279069767,mlpWeightDecayML
0.978723404255319,mlpWeightDecayML
0.988636363636364,mlpWeightDecayML
1,mlpWeightDecayML
0.98876404494382,mlpWeightDecayML
0.946808510638298,mlpWeightDecayML
0.978947368421053,mlpWeightDecayML
